solver,problem_size,count,mean,std,min,median,max
MCTSOnly,25,30,2.009970449858035,0.0022936092296568012,2.0061703170649707,2.0099348875228316,2.0167023988906294
MCTSOnly,50,30,4.013429366308264,0.002704788295227517,4.00955669907853,4.013261441956274,4.018810670124367
MCTSOnly,100,30,8.029295508105617,0.007627040701413951,8.01906360895373,8.028564188978635,8.053298703162
MCTSOnly,200,30,16.096854948019608,0.026468447649680912,16.059192260028794,16.09692206257023,16.1620265559759
MCTSOnly,500,30,40.639861755562016,0.23528686968713056,40.30140828201547,40.59993253950961,41.104800211964175
MCTSOnly,1000,30,82.93612038660794,1.1198326447232698,81.36704743700102,82.72345789615065,85.08997110300697
UTSPSolver,25,30,17.183015025535134,0.31922098350188877,16.707357465988025,17.14220373352873,18.089904343010858
UTSPSolver,50,30,16.47029421424571,0.038033667525250336,16.444414900033735,16.454084186523687,16.619980452000163
UTSPSolver,100,30,33.31999615059855,0.033706468382039056,33.286609124043025,33.31063135509612,33.434930454939604
UTSPSolver,200,30,68.39800853359823,0.05763769546562139,68.34555872203782,68.37670852447627,68.56091062608175
UTSPSolver,500,30,40.36447522391875,0.15431682428374038,40.17271608801093,40.33107160148211,40.712704034056515
UTSPSolver,1000,30,81.95937324770105,0.9358889973887734,80.65720463194884,81.83754474949092,84.90230616880581
