solver,problem,problem_size,cost,time_to_solve,solution_status,valid_solution,timed_out_without_tour,timestamp
concorde,zurich_10_6,10,9627.0,0.008092829026281834,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_10_7,10,7824.0,0.01155411102809012,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_10_8,10,8282.0,0.005893796915188432,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_10_9,10,7373.0,0.011361234122887254,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_25_0,25,12831.0,0.016842205077409744,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_25_1,25,14823.0,0.030610437970608473,Success: Exact solution found. gap is zero,True,False,20260317_124557
concorde,zurich_25_10,25,15533.0,0.030095266876742244,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_11,25,14312.0,0.018087113043293357,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_12,25,15656.0,0.03499005292542279,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_13,25,13365.0,0.029993555042892694,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_14,25,15735.0,0.023606417002156377,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_15,25,14470.0,0.031169186113402247,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_16,25,13169.0,0.014354607090353966,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_17,25,13499.0,0.015326943015679717,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_18,25,13720.0,0.019706607097759843,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_19,25,15703.0,0.021051259012892842,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_2,25,12195.0,0.01701590302400291,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_20,25,16196.0,0.014929769095033407,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_21,25,12448.0,0.015631380956619978,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_22,25,16103.0,0.018129016971215606,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_23,25,14702.0,0.017495459876954556,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_24,25,15357.0,0.025321498978883028,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_25,25,13583.0,0.012971080839633942,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_26,25,15892.0,0.01448470400646329,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_27,25,15766.0,0.01997266011312604,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_28,25,15267.0,0.02010985091328621,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_29,25,16808.0,0.013032543938606977,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_3,25,15619.0,0.021253115963190794,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_4,25,13829.0,0.03413680708035827,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_5,25,15108.0,0.03192118415609002,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_6,25,15427.0,0.01706945593468845,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_7,25,14489.0,0.015663346042856574,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_8,25,16200.0,0.026368780061602592,Success: Exact solution found. gap is zero,True,False,20260317_124558
concorde,zurich_25_9,25,13932.0,0.02112658997066319,Success: Exact solution found. gap is zero,True,False,20260317_124558
